id,fecha,centro_atencion_turistica,barrio,comuna,pasajeros,pais_residencia_si_extranjero,otro_pais_residencia_si_extranjero,provincia_residencia_si_argentino,pernoctaciones,medio_transporte_llegada,alojamiento,otro_alojamiento,barrio,otro_barrio,primera_vez,motivo_viaje,otro_motivo_viaje,motivo_consulta,otro_motivo_consulta
129,2017-01-02,planetario,PALERMO,COMUNA 14,1,,,Córdoba,5,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion,
130,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Brasil,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion atractivos,
131,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,4,,,Salta,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
132,2017-01-02,planetario,PALERMO,COMUNA 14,2,Brasil,,,3,Avión,Hotel,,Palermo,,No,,,Mapas Orientacion,
133,2017-01-02,puertomadero2,PUERTO MADERO,COMUNA 1,2,Suiza,,,4,Avión,Hotel,,Recoleta,,Sí,,,Mapas Orientacion museos,
134,2017-01-02,hub2,SAN NICOLAS,COMUNA 1,2,,,Entre Ríos,3,No especifica,,,,,No especifica,No especifica,,museos,
135,2017-01-02,hub2,SAN NICOLAS,COMUNA 1,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,otros,Correo
136,2017-01-02,caminito2,BOCA,COMUNA 4,3,España,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas Orientacion que_hacer,
137,2017-01-02,retiro,RETIRO,COMUNA 1,1,Brasil,,,4,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion alrededores,
138,2017-01-02,puertomadero2,PUERTO MADERO,COMUNA 1,1,Italia,,,3,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion parques,
139,2017-01-02,puertomadero2,PUERTO MADERO,COMUNA 1,1,España,,,4,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion,
140,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,Francia,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus Mapas Orientacion alrededores info_arg info_uru,
141,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas,
142,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Italia,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas Orientacion,
143,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,3,Colombia,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus Mapas Orientacion,
144,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
145,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
146,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Brasil,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
147,2017-01-02,hub2,SAN NICOLAS,COMUNA 1,2,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
148,2017-01-02,hub2,SAN NICOLAS,COMUNA 1,2,Alemania,,,5,No especifica,,,,,No especifica,No especifica,,Mapas atractivos literario museos,
149,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,,,Provincia de Buenos Aires,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
